,units,param_type
4684,cycles,Median
4685,pg/mmol,Mean
4686,Proportion of participants,Mean
4687,Total energy kcal/day,Mean
4688,kPa/cm2,Mean
4689,cm^3,Median
4690,indifference proportion*delay proportion,Mean
4691,meters per second,Median
4692,nmol/ml/hr,Mean
4693,Visual Analogue Scale,Mean
4694,international units per liter,Median
4695,Pregnancies to a viable gestational age,Median
4696,score from 0 to 100,Mean
4697,Partcipants,Number
4698,comorbidity score,Mean
4699,Number of patients with relapse,Number
4700,layers,Median
4701,milliliter/minute/kilogram (mL/min/kg),Mean
4702,Kcal/d,Mean
4703,vaginal births,Median
4704,ratio of predicted value,Mean
4705,% days of any drinking,Mean
4706,pmol/L,Median
4707,Integer,Median
4708,units of the Apache Scoring system,Mean
4709,Drinks,Mean
4710,µL,Mean
4711,Percent antibody binding,Median
4712,%total body mass,Mean
4713,percent of cells in blood sample,Median
4714,urgency incontinence episodes/24 hours,Mean
4715,fat percentage,Mean
4716,kilogram(s),Mean
4717,md/dL,Mean
4718,percentage of plasma cells,Median
4719,% of participants,Number
4720,Shoulders,Count of Units
4721,Percent of sites bleeding on probing,Mean
4722,IU/Day,Mean
4723,pg/mL (local),Mean
4724,Liters,Median
4725,age,Mean
4726,"number of restorations, unit",Number
4727,Nursing home,Count of Units
4728,"morphine eq, in mg",Mean
4729,number of letters read on ETDRS Chart,Mean
4730,logCS,Mean
4731,centimeters (cm),Median
4732,ug/mL,Number
4733,Log10 CFU/mL,Mean
4734,Pg/mL,Mean
4735,IU,Median
4736,cigarettes smoked per day,Mean
4737,Number of Tender Joints,Mean
4738,Percentage of body weight,Mean
4739,10^9 blood eosinophil/liter,Mean
4740,Forearms,Count of Units
4741,International Units,Mean
4742,centimeters of water (Cm H2O),Mean
4743,Age at screening (years),Mean
4744,IU/liter,Median
4745,Unit of MoCA,Mean
4746,µsiemens (µmho),Mean
4747,percentage of liver collagen,Mean
4748,people,Median
4749,milliliter/minute/1.73 square meter,Mean
4750,"distance walked, meters",Mean
4751,kg/M^2,Mean
4752,participants with coronary calcium,Number
4753,mGy/min,Mean
4754,Minutes,Mean
4755,Percent Diameter Stenosis,Mean
4756,ng/mg,Median
4757,x10^3/mm^3,Median
4758,Proportions of Smokers,Mean
4759,Percent Cells Positive,Mean
4760,Chemotherapy Regimens,Median
4761,Kilogramms,Median
4762,cramps/day,Mean
4763,number of antral follicles,Mean
4764,number of checks per day,Mean
4765,lbs/square inches,Mean
4766,morphine milligram equivalents (MME),Median
4767,anal intercourse,Median
4768,organ dysfunctions,Mean
4769,percent traced,Mean
4770,milliliters,Median
4771,center,Number
4772,absolute scotomatous points,Mean
4773,percentage of marrow,Median
4774,kilogramm,Mean
4775,Scores on a scale(min:1 and max:6),Median
4776,MELD Score,Mean
4777,kPa,Median
4778,events/hr,Mean
4779,percentage of non-affected hand,Mean
4780,Kilogram Weight,Mean
4781,percentage of liver,Mean
4782,millimetre of mercury (mmHg),Mean
4783,Percentage of HbA1c (%),Mean
4784,units on Lequesne Functional Question.,Mean
4785,medication classes,Mean
4786,consecutive pregnancy losses,Median
4787,Milligram per deciliter (mg/dL),Mean
4788,AU (arbitrary unit),Mean
4789,Decibels (db),Mean
4790,x 10^8 T cells/kg,Mean
4791,Percent (%) body weight,Mean
4792,diopter,Number
4793,HOMA index,Mean
4794,cells*10^3/mL,Mean
4795,mg/day,Mean
4796,MMHg,Mean
4797,mmol/L,Median
4798,Total score on a scale of 0 to 100,Mean
4799,Steps/day,Mean
4800,Ratio of mRNA copy numbers (iNOS/5HKGs),Mean
4801,square meter (m^2),Mean
4802,Log10 CFU/mL,Median
4803,mIU/mL,Median
4804,ml/s,Mean
4805,Score on Scale,Mean
4806,Dives,Mean
4807,Units (U),Mean
4808,Scores on a Scale,Median
4809,Percent viable cells,Mean
4810,[1] z-BMI see description,Mean
4811,percent,Mean
4812,milligrams/24 hours,Mean
4813,ug/dl,Mean
4814,Kilograms per meter square (kg/m^2),Mean
4815,beats per minute (beats/min),Mean
4816,MET-h/wk,Mean
4817,Number of lesions/Participant,Mean
4818,x10^9/L,Mean
4819,beats/minute,Mean
4820,umol/min/gHb,Mean
4821,% of HbA1c,Mean
4822,Percent ((FEV1/FVC)*100),Mean
4823,ng/mg Cr,Median
4824,Beats per Minute (bpm),Mean
4825,Injury Severity Score,Median
4826,number of vaginal births,Mean
4827,Beats per minute,Mean
4828,inches (in),Mean
4829,kilogram(s)/square meter,Mean
4830,kg per meters squared,Median
4831,kilograms per meter squared,Mean
4832,pads,Median
4833,mcg/kg,Median
4834,mOsm/L,Mean
4835,% (percentage of minutes slept),Mean
4836,kilograms (kg)/meter squared (m^2),Mean
4837,number of medications used,Mean
4838,mIU/ml,Mean
4839,daytime voids,Mean
4840,pack-year,Median
4841,pg/mL,Number
4842,Mean percentage of participants,Mean
4843,copies/ml 10^3,Median
4844,kilogram per meter squared (kg/m^2),Mean
4845,% of body fat,Mean
4846,Units on a scale (0-100),Mean
4847,Micro mole per Liter (umol/L),Median
4848,number of relapses,Mean
4849,cells/ micro liter,Mean
4850,Words,Mean
4851,percent predicted mortality,Mean
4852,nanomoles per milliliter (nmol/mL),Mean
4853,Kilograms per square meter (kg/m^2),Mean
4854,cells/µL,Median
4855,Metered Squares m^2,Mean
4856,cmH2O,Median
4857,nocturia episodes/24 hours,Mean
4858,ms,Mean
4859,Number of cycles,Median
4860,µm/day,Mean
4861,Kilograms,Median
4862,treatments,Median
4863,microIU/ml,Mean
4864,Percentage of Predicted FVC,Mean
4865,cigarettes smoked per day,Median
4866,pariticipants,Number
4867,probability,Mean
4868,percentile,Mean
4869,Percentage of Predicted FEV1,Mean
4870,°,Mean
4871,sq. meter,Mean
4872,pg/mL,Median
4873,age in months of encounter subjects,Mean
4874,mg/mg,Median
4875,picograms per milliliter (pg/mL),Geometric Mean
4876,10^9 platelets/L,Mean
4877,Percentile adjusted for age and sex,Mean
4878,cigarette,Mean
4879,month,Median
4880,mmol/L/min,Mean
4881,kilo Pascals,Mean
4882,L/sec,Mean
4883,Number of prior chemotherapy regimens,Median
4884,percent reversibility,Mean
4885,seizures/week,Mean
4886,Percentage of Abstinent Days,Mean
4887,percentage of bone surface,Mean
4888,pharmacy claims,Mean
4889,gestational age (weeks),Mean
4890,Percent of the predicted value,Mean
4891,mg / dL,Mean
4892,composite score,Mean
4893,milligrams/kilograms (mg/kg),Median
4894,Kilogram,Median
4895,units on a scale out of 10 min 1 max 10,Mean
4896,mg/Dl,Mean
4897,Years of Age,Mean
4898,Meters squared,Mean
4899,centimenters (cm),Mean
4900,Joint Count,Mean
4901,feedings per day,Median
4902,Child,Mean
4903,# events / subject,Mean
4904,liters/second (L/sec),Mean
4905,%Gag-specific MIP1B+ CD4+ T-cells,Median
4906,Percent of items,Mean
4907,Units on a scale,Median
4908,ng/mg of creatinine,Mean
4909,CYP2D6 drug,Median
4910,kU/L,Geometric Least Squares Mean
4911,number of comorbidities,Number
4912,Chair stands per 30 seconds,Mean
4913,percentage of cells,Mean
4914,millimeter/hour (mm/hr),Mean
4915,(kg),Mean
4916,gender,Number
4917,IQ,Mean
4918,mL/min per 1.73 m^2,Mean
4919,(ng/mL)^2/1000,Mean
4920,% predicted normal,Mean
4921,µg,Mean
4922,deployments,Mean
4923,Comorbid conditions,Median
4924,Number of masses,Number
4925,Eyes,Number
4926,cm³,Mean
4927,standard drinks/day,Mean
4928,gram (g),Mean
4929,millimeters mercury (mmHg),Mean
4930,eosinophils per high power field,Median
4931,morphine milligram equivalents per day,Mean
4932,Picograms per milliliter (pg/mL),Mean
